site,impact types,burrow shape,beach slope,sand compaction,sand grain size,inclination angle,burrow depth,average burrow diameter,burrow opening diameter (mm),burrow length,distance to vegetation,burrow temperature,burrow humidity,latitude,longitude,day,month,year
Myrtle Beach 2,HV,I,13.67,0.118,0.3853928,22,44,21.36,27,46,17.46,27.84,57.41,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,L,13.67,0.118,0.3853928,44,40,17.42,23,45,1.75,26.6,61.16,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,I,13.67,0.118,0.3853928,42,24,22,27,28,6.24,28,55.48,33.688544,-78.882367,20,July,2016
N. Myrtle Beach 1,HV,V,11.02,0.115,0.3233424,37,27,26.42,34,40,2.84,26.04,54.24,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,I,11.02,0.115,0.3233424,43,54,25.22,32,59,9.35,23.82,58.39,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,U,11.02,0.115,0.3233424,41,38,19.42,25,58,7.55,24.21,64.5,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,I,11.02,0.115,0.3233424,32,56,16.5,21,61,8.41,26.11,55.25,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,U,11.02,0.115,0.3233424,49,31,31.64,37,44,12.64,27.04,57.53,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,I,11.02,0.115,0.3233424,36,24,14.61,18,30,10.37,27.44,55.4,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 2,HV,Y,9.97,0.09,0.341909533,48,46,26.52,34,57,8.43,28.14,57.6,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,I,9.97,0.09,0.341909533,44,44,22.14,30,51,16.22,23.77,62.55,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,Y,9.97,0.09,0.341909533,41,59,21.67,27,67,5.78,27.3,57.27,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,J,9.97,0.09,0.341909533,46,39,15.63,22,45,8.59,28.44,54.16,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,I,9.97,0.09,0.341909533,41,26,13.75,17,30,13.57,28.44,57.6,33.801645,-78.711638,11,July,2016
Garden City Beach,HV,I,9.425,0.125,0.238249667,47,48,28.43,34,52,9.66,26.64,60.65,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,M,9.425,0.125,0.238249667,31,55,30.17,36,68,12.45,29.27,57.39,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,Y,9.425,0.125,0.238249667,46,48,27.1,36,59,17.41,25.9,59.71,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,Y,9.425,0.125,0.238249667,49,59,26.5,34,68,12.57,26.11,60.97,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,L,9.425,0.125,0.238249667,42,57,40.47,49,65,7.35,26.14,61.32,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,I,9.425,0.125,0.238249667,34,34,17.4,23,53,15.14,28.47,59.75,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,Y,9.425,0.125,0.238249667,34,22,13.52,18,28,16.78,24.18,75.26,33.57457072,-79.000082,2,July,2016
