site,impact types,quadrat,julian day,burrow number,burrow density,latitude,longitude,day,month,year
Burkes Beach,HI,T3,233,4,0.08,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T4,233,8,0.16,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T4,233,4,0.08,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T4,233,9,0.18,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T5,233,5,0.1,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T5,233,7,0.14,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T5,233,7,0.14,32.192852,-80.696085,20,August,2016
Myrtle Beach 1,HV,T1,150,9,0.18,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,T1,150,9,0.18,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,T1,150,7,0.14,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,T2,150,6,0.12,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,T2,150,5,0.1,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,T2,150,5,0.1,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,T3,150,4,0.08,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,T3,150,4,0.08,33.735633,-78.882367,29,May,2016
Myrtle Beach 1,HV,T3,150,4,0.08,33.735633,-78.882367,29,May,2016
Myrtle Beach 1,HV,T4,150,3,0.06,33.735633,-78.899794,29,May,2016
Myrtle Beach 1,HV,T4,150,6,0.12,33.735633,-78.917221,29,May,2016
Myrtle Beach 1,HV,T4,150,4,0.08,33.735633,-78.934648,29,May,2016
Myrtle Beach 1,HV,T5,150,4,0.08,33.735633,-78.952075,29,May,2016
Myrtle Beach 1,HV,T5,150,3,0.06,33.735633,-78.969502,29,May,2016
Myrtle Beach 1,HV,T5,150,5,0.1,33.735633,-78.986929,29,May,2016
Myrtle Beach 2,HV,T1,202,10,0.2,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T1,202,10,0.2,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T1,202,9,0.18,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T2,202,2,0.04,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T2,202,4,0.08,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T2,202,5,0.1,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T3,202,3,0.06,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T3,202,3,0.06,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T3,202,3,0.06,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T4,202,3,0.06,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T4,202,5,0.1,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T4,202,3,0.06,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T5,202,4,0.08,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T5,202,6,0.12,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,T5,202,4,0.08,33.688544,-78.882367,20,July,2016
N. Myrtle Beach 1,HV,T1,157,9,0.18,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T1,157,8,0.16,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T1,157,10,0.2,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T2,157,3,0.06,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T2,157,5,0.1,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T2,157,2,0.04,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T3,157,3,0.06,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T3,157,2,0.04,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T3,157,1,0.02,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T4,157,2,0.04,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T4,157,4,0.08,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T4,157,2,0.04,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T5,157,4,0.08,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T5,157,5,0.1,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,T5,157,5,0.1,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 2,HV,T1,193,7,0.14,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T1,193,5,0.1,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T1,193,10,0.2,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T2,193,4,0.08,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T2,193,2,0.04,33.801645,-78.711638,11,July,2016
